0	0	0000 0000	0000	000	000	000	0000 0000
0	1	0000 0001	1000	000	000	000	0101 0101
0	0	0000 0001	1000	000	000	000	0101 0101
0	1	0000 0010	1000	001	001	001	0010 1010
0	0	0000 0010	1000	001	001	001	0010 1010
0	1	0000 0011	0010	010	000	001	0000 0000
0	0	0000 0011	0010	010	000	001	0000 0000
0	1	0000 0100	0100	011	000	001	0000 0000
0	0	0000 0100	0100	011	000	001	0000 0000
0	1	0000 0101	0001	100	000	000	0000 0000
0	0	0000 0101	0001	100	000	000	0000 0000
0	1	0000 0110	0101	101	000	001	0000 0000
0	0	0000 0110	0101	101	000	001	0000 0000
0	1	0000 0111	0111	110	001	000	0000 0000
0	0	0000 0111	0111	110	001	000	0000 0000
0	1	0000 1000	0000	000	000	000	0000 0000
0	0	0000 1000	0000	000	000	000	0000 0000
0	1	0000 1001	1011	010	000	000	0000 0000
0	0	0000 1001	1011	010	000	000	0000 0000
0	1	0000 1010	1100	011	000	000	0000 0000
0	0	0000 1010	1100	011	000	000	0000 0000
0	1	0000 1011	0110	100	000	001	0000 0000
0	0	0000 1011	0110	100	000	001	0000 0000
0	1	0000 1100	1001	101	000	000	0101 0101
0	0	0000 1100	1001	101	000	000	0101 0101
0	1	0000 1101	1010	110	000	000	0101 0110
0	0	0000 1101	1010	110	000	000	0101 0110
0	1	0000 1110	0000	000	000	000	0000 0000
0	0	0000 1110	0000	000	000	000	0000 0000
0	1	0000 1111	1000	000	000	000	0111 1111
0	0	0000 1111	1000	000	000	000	0111 1111
0	1	0001 0000	1000	001	000	000	0001 1111
0	0	0001 0000	1000	001	000	000	0001 1111
0	1	0001 0001	0010	010	000	001	0000 0000
0	0	0001 0001	0010	010	000	001	0000 0000
0	1	0001 0010	0100	011	001	001	0000 0000
0	0	0001 0010	0100	011	001	001	0000 0000
0	1	0001 0011	0001	100	000	000	0000 0000
0	0	0001 0011	0001	100	000	000	0000 0000
0	1	0001 0100	0101	101	000	001	0000 0000
0	0	0001 0100	0101	101	000	001	0000 0000
0	1	0001 0101	0111	110	101	000	0000 0000
0	0	0001 0101	0111	110	101	000	0000 0000
0	1	0001 0110	0000	000	000	000	0000 0000
0	0	0001 0110	0000	000	000	000	0000 0000
0	1	0001 0111	1011	010	000	000	0000 0000
0	0	0001 0111	1011	010	000	000	0000 0000
0	1	0001 1000	1100	011	000	000	0000 0000
0	0	0001 1000	1100	011	000	000	0000 0000
0	1	0001 1001	0110	100	000	001	0000 0000
0	0	0001 1001	0110	100	000	001	0000 0000
0	1	0001 1010	1001	101	000	000	0101 0101
0	0	0001 1010	1001	101	000	000	0101 0101
0	1	0001 1011	1010	110	000	000	1000 0001
0	0	0001 1011	1010	110	000	000	1000 0001
0	1	0001 1100	0101	110	110	001	0000 0000
0	0	0001 1100	0101	110	110	001	0000 0000
0	1	0001 1101	0011	111	000	001	0000 0000
0	0	0001 1101	0011	111	000	001	0000 0000
0	1	0001 1110	1110	000	000	000	0000 0000
0	0	0001 1110	1110	000	000	000	0000 0000
0	1	0001 1111	1000	000	000	000	0111 1111
0	0	0001 1111	1000	000	000	000	0111 1111
0	1	0010 0000	1000	001	001	001	0111 1111
0	0	0010 0000	1000	001	001	001	0111 1111
0	1	0010 0001	1000	010	010	010	0111 1111
0	0	0010 0001	1000	010	010	010	0111 1111
0	1	0010 0010	1000	011	011	011	0111 1111
0	0	0010 0010	1000	011	011	011	0111 1111
0	1	0010 0011	1111	000	000	000	0000 0000
0	0	0010 0011	1111	000	000	000	0000 0000
0	1	0010 0100	1000	100	100	100	0111 1111
0	0	0010 0100	1000	100	100	100	0111 1111
0	1	0010 0101	1000	101	101	101	0111 1111
0	0	0010 0101	1000	101	101	101	0111 1111
0	1	0010 0110	1000	110	110	110	0111 1111
0	0	0010 0110	1000	110	110	110	0111 1111
0	1	0010 0111	1000	111	111	111	0111 1111
0	0	0010 0111	1000	111	111	111	0111 1111
0	1	0010 1000	0000	000	000	000	0000 0000
0	0	0010 1000	0000	000	000	000	0000 0000
0	1	0010 1001	0000	000	000	000	0000 0000
0	0	0010 1001	0000	000	000	000	0000 0000
0	1	0010 1010	0000	000	000	000	0000 0000
0	0	0010 1010	0000	000	000	000	0000 0000
0	1	0010 1011	0000	000	000	000	0000 0000
0	0	0010 1011	0000	000	000	000	0000 0000
0	1	0010 1100	0000	000	000	000	0000 0000
0	0	0010 1100	0000	000	000	000	0000 0000
0	1	0010 1101	0000	000	000	000	0000 0000
0	0	0010 1101	0000	000	000	000	0000 0000
0	1	0010 1110	0000	000	000	000	0000 0000
0	0	0010 1110	0000	000	000	000	0000 0000
0	1	0010 1111	0000	000	000	000	0000 0000
0	0	0010 1111	0000	000	000	000	0000 0000
0	1	0011 0000	0000	000	000	000	0000 0000
