000	10	1001 1010	0	11	0000 0000
001	00	1111 0111	1	00	0000 0000
001	00	1111 0111	0	00	0000 0000
000	00	1000 1111	1	00	0000 0000
000	00	1000 1111	0	00	0000 0000
001	01	0010 0001	1	01	0010 0001
001	01	0010 0001	0	01	0010 0001
100	00	0100 0001	1	00	0000 0000
100	00	0100 0001	0	00	0000 0000
001	10	1011 0000	1	11	0010 0001
001	10	1011 0000	0	11	0010 0001
100	00	0111 0010	1	00	0000 0000
100	00	0111 0010	0	00	0000 0000
001	00	1111 1110	1	00	0010 0001
001	00	1111 1110	0	00	0010 0001
001	00	1010 1110	1	00	0010 0001
001	00	1010 1110	0	00	0010 0001
011	01	0100 1101	1	01	0100 1101
011	01	0100 1101	0	01	0100 1101
000	10	1001 1111	1	11	0000 0000
000	10	1001 1111	0	11	0000 0000
110	10	0110 0100	1	11	0000 0000
110	10	0110 0100	0	11	0000 0000
110	00	0000 0110	1	00	0000 0000
110	00	0000 0110	0	00	0000 0000
010	10	0000 0100	1	11	0000 0000
010	10	0000 0100	0	11	0000 0000
000	10	0100 0100	1	11	0000 0000
000	10	0100 0100	0	11	0000 0000
111	00	1010 1001	1	00	0000 0000
111	00	1010 1001	0	00	0000 0000
111	00	1111 0010	1	00	0000 0000
111	00	1111 0010	0	00	0000 0000
001	00	0001 1110	1	00	0010 0001
001	00	0001 1110	0	00	0010 0001
110	01	0001 0000	1	01	0001 0000
110	01	0001 0000	0	01	0001 0000
100	01	0101 1010	1	01	0101 1010
100	01	0101 1010	0	01	0101 1010
010	01	0011 1011	1	01	0011 1011
010	01	0011 1011	0	01	0011 1011
001	10	0011 1000	1	11	0010 0001
001	10	0011 1000	0	11	0010 0001
100	00	0111 1000	1	00	0101 1010
100	00	0111 1000	0	00	0101 1010
011	10	0111 0110	1	11	0100 1101
011	10	0111 0110	0	11	0100 1101
001	10	0000 1111	1	01	0001 0010
001	10	0000 1111	0	01	0001 0010
111	00	1000 0100	1	00	0000 0000
111	00	1000 0100	0	00	0000 0000
010	00	1111 0100	1	00	0011 1011
010	00	1111 0100	0	00	0011 1011
111	10	1010 1111	1	11	0000 0000
111	10	1010 1111	0	11	0000 0000
001	10	0100 0001	1	11	0001 0010
001	10	0100 0001	0	11	0001 0010
110	01	0000 0111	1	01	0001 0111
110	01	0000 0111	0	01	0001 0111
010	00	0100 0001	1	00	0011 1011
010	00	0100 0001	0	00	0011 1011
010	01	1010 1101	1	01	1110 1000
010	01	1010 1101	0	01	1110 1000
011	00	1000 0111	1	00	0100 1101
011	00	1000 0111	0	00	0100 1101
111	10	1101 1010	1	11	0000 0000
111	10	1101 1010	0	11	0000 0000
001	00	1001 1101	1	00	0001 0010
001	00	1001 1101	0	00	0001 0010
000	10	0100 1011	1	11	0000 0000
000	10	0100 1011	0	11	0000 0000
001	00	1011 1011	1	00	0001 0010
